nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información,distancia,soles_repsol,estrellas_michelin,situacion_visitas,municipio
LA CULPA DE LA GULA,https://www.turismo.gal/recurso/-/detalle/180404000056/la-culpa-de-la-gula?langId=es_ES&tp=1001549&ctre=40000240,"Calle REAL, nº 25 36900 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA D´FRAN,https://www.turismo.gal/recurso/-/detalle/19722/la-d-fran?langId=es_ES&tp=24&ctre=142,"Calle Rosalía de Castro, nº 36 36001 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 669 617 851,frangux@hotmail.com,Donde comer,"42º 25' 29.6"" N - 8º 39' 05.6"" W",mailto:frangux@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA ESPUELA II,https://www.turismo.gal/recurso/-/detalle/210303000173/la-espuela-ii?langId=es_ES&tp=1001549&ctre=40000240,"Calle Figueroa, nº 17 36001 Pontevedra - Pontevedra",Café bar,,,mololagr@hotmail.com,Donde comer,"42º 25' 56.3"" N - 8º 38' 37.4"" W",mailto:mololagr@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA ESTAFETA,https://www.turismo.gal/recurso/-/detalle/v-po-005642/la-estafeta?langId=es_ES&tp=1001549&ctre=40000240,"RUA CELSO GARCIA DE LA RIEGA, 4 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA ESTRELLA DE LA ESTACION,https://www.turismo.gal/recurso/-/detalle/c-po-000894/la-estrella-de-la-estacion?langId=es_ES&tp=1001550&ctre=40000242,"Calle Eduardo Pondal - Vialia, nº 63 36003 Pontevedra - Pontevedra",Cafetería,,+34 609 839 817,migarcoarmak@hotmail.com,Donde comer,"42º 25' 17.7"" N - 8º 38' 11.3"" W",mailto:migarcoarmak@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA FAVORITA,https://www.turismo.gal/recurso/-/detalle/v-po-003797/la-favorita?langId=es_ES&tp=1001549&ctre=40000240,"Calle Padre Amoedo, nº 6 36002 Pontevedra - Pontevedra",Café bar,,,LEYAREGO@GMAIL.COM,Donde comer,,mailto:LEYAREGO@GMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA FONDA,https://www.turismo.gal/recurso/-/detalle/230718000301/la-fonda?langId=es_ES&tp=24&ctre=142,"Calle Isabel II, nº 6 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,info@lafondapontevedra.com,Donde comer,,mailto:info@lafondapontevedra.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA GRAMOLA,https://www.turismo.gal/recurso/-/detalle/v-po-003306/la-gramola?langId=es_ES&tp=1001549&ctre=40000240,"Calle Méndez Núñez, nº 1 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA HORMIGA,https://www.turismo.gal/recurso/-/detalle/v-po-007068/la-hormiga?langId=es_ES&tp=1001549&ctre=40000240,"Calle Campillo De Santa María, nº 6 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA HUERTA DEL CURA,https://www.turismo.gal/recurso/-/detalle/c-po-001175/la-huerta-del-cura?langId=es_ES&tp=1001550&ctre=40000242,"Calle Joaquín Costa, nº 42 36001 Pontevedra - Pontevedra",Cafetería,,+34 622 064 009,MGULIASBALBOA@GMAIL.COM,Donde comer,"42º 25' 41.9"" N - 8º 38' 22.1"" W",mailto:MGULIASBALBOA@GMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA NATA,https://www.turismo.gal/recurso/-/detalle/v-po-009099/la-nata?langId=es_ES&tp=1001549&ctre=40000240,"CURROS ENRIQUEZ, nº 4 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA PALOMA,https://www.turismo.gal/recurso/-/detalle/11639/la-paloma?langId=es_ES&tp=24&ctre=142,"Calle Da Pomba, nº 22 36162 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 844 276,,Donde comer,"42º 26' 15.7"" N - 8º 37' 21.6"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LA PARADITA,https://www.turismo.gal/recurso/-/detalle/v-po-006233/la-paradita?langId=es_ES&tp=1001549&ctre=40000240,"Calle Fray Juan Navarrete, nº 7 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA PEPITA BURGUER BAR,https://www.turismo.gal/recurso/-/detalle/150603000020/la-pepita-burguer-bar?langId=es_ES&tp=1001549&ctre=40000240,R/ COBIAN ROFFIGÑAC Nº 2 36002 Pontevedra - Pontevedra,Café bar,,+34 651 821 570,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA PERLA 8,https://www.turismo.gal/recurso/-/detalle/v-po-006383/la-perla-8?langId=es_ES&tp=1001549&ctre=40000240,"Calle Herreros, nº 18 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA PIVO,https://www.turismo.gal/recurso/-/detalle/210310001044/la-pivo?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sarmiento, nº 6 36002 Pontevedra - Pontevedra",Café bar,,,davidcangado@hotmail.com,Donde comer,,mailto:davidcangado@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA POMADA,https://www.turismo.gal/recurso/-/detalle/v-po-008967/la-pomada?langId=es_ES&tp=1001549&ctre=40000240,"RUA REAL, 12 36003 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA QUESERIA,https://www.turismo.gal/recurso/-/detalle/v-po-007952/la-queseria?langId=es_ES&tp=1001549&ctre=40000240,"RUA MANUEL QUIROGA, 18 36001 Pontevedra - Pontevedra",Café bar,,,ICARRASCOHERMIDA@YAHOO.ES,Donde comer,,mailto:ICARRASCOHERMIDA@YAHOO.ES,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA TASCA DE SISI,https://www.turismo.gal/recurso/-/detalle/15491/la-tasca-de-sisi?langId=es_ES&tp=24&ctre=142,"Calle Alfonso X El Sabio, nº 3 36003 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 640 246 448,latascadesisi@gmail.com,Donde comer,"42º 25' 30.0"" N - 8º 38' 38.4"" W",mailto:latascadesisi@gmail.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LA TERRAZA,https://www.turismo.gal/recurso/-/detalle/1472/la-terraza?langId=es_ES&tp=24&ctre=142,"Carretera Marín, nº 4 36153 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 842 060,cybertocaal@hotmail.com,Donde comer,"42º 24' 57.9"" N - 8º 40' 04.2"" W",mailto:cybertocaal@hotmail.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LA TIENDA DE CLARA 3,https://www.turismo.gal/recurso/-/detalle/11664/la-tienda-de-clara-3?langId=es_ES&tp=24&ctre=142,"Augusto García Sánchez, 15 36001 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 102 310,,Donde comer,"42º 25' 41.3"" N - 8º 38' 37.2"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LA ULTRAMAR,https://www.turismo.gal/recurso/-/detalle/r-po-003658/la-ultramar?langId=es_ES&tp=24&ctre=142,"Calle Padre Amoedo , nº 1-3 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 857 266,restaurante@laultramar.es,Donde comer,"42º 25' 59.8"" N - 8º 38' 31.4"" W",mailto:restaurante@laultramar.es,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,Recomendado,Estrellas Michelin: Seleccionado,,Pontevedra
LA VERBENA,https://www.turismo.gal/recurso/-/detalle/191212000160/la-verbena?langId=es_ES&tp=1001549&ctre=40000240,"Calle Paio Gómez Charino, nº 29 36002 Pontevedra - Pontevedra",Café bar,,,fincascochon@gmail.com,Donde comer,,mailto:fincascochon@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LA VIUDA,https://www.turismo.gal/recurso/-/detalle/11753/la-viuda?langId=es_ES&tp=24&ctre=142,"Lg. Cabaleiro, nº 31 36157 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 870 278,,Donde comer,"42º 27' 48.6"" N - 8º 39' 59.0"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,Soletes,,,Pontevedra
LANDIN,https://www.turismo.gal/recurso/-/detalle/v-po-007804/landin-?langId=es_ES&tp=1001549&ctre=40000240,"Calle Fray Juan Navarrete, nº 11 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LANDIN 2,https://www.turismo.gal/recurso/-/detalle/240105000039/landin-2?langId=es_ES&tp=1001549&ctre=40000240,"Calle Michelena, nº 40 36001 Pontevedra - Pontevedra",Café bar,,+34 610 031 234,xoanpedreira@hotmail.com,Donde comer,,mailto:xoanpedreira@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LAPARUZAS,https://www.turismo.gal/recurso/-/detalle/v-po-008959/laparuzas?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Touceda, nº 47 36157 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LAR DE MORAR,https://www.turismo.gal/recurso/-/detalle/v-po-008814/lar-de-morar?langId=es_ES&tp=1001549&ctre=40000240,LG. BARCIA NÚM. 50 36158 Pontevedra - Pontevedra,Café bar,,,,Donde comer,"43º 04' 26.7"" N - 8º 52' 07.3"" W",,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LAREIRA-2,https://www.turismo.gal/recurso/-/detalle/r-po-001843/lareira-2?langId=es_ES&tp=24&ctre=142,"Avenida Da Coruña , nº 41 36005 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LAS BRASAS CANCAMO,https://www.turismo.gal/recurso/-/detalle/261024710/las-brasas-cancamo-?langId=es_ES&tp=24&ctre=142,"Cabaleiro, nº 29 36005 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LAS PALMERAS,https://www.turismo.gal/recurso/-/detalle/210302000022/las-palmeras?langId=es_ES&tp=1001549&ctre=40000240,"Paseo Cervantes, nº 2 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LE MASCHERE,https://www.turismo.gal/recurso/-/detalle/v-po-007305/le-maschere?langId=es_ES&tp=1001549&ctre=40000240,"Calle Cruz Gallastegui, nº 12 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LELE II,https://www.turismo.gal/recurso/-/detalle/v-po-001923/lele-ii?langId=es_ES&tp=1001549&ctre=40000240,"Calle Fernando Olmedo, nº 5 36004 Pontevedra - Pontevedra",Café bar,,,asesoresmarin@gmail.com,Donde comer,,mailto:asesoresmarin@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LESTON,https://www.turismo.gal/recurso/-/detalle/210305000412/leston?langId=es_ES&tp=1001549&ctre=40000240,"Avenida de La Coruña, nº 58 36005 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LICEO CASINO,https://www.turismo.gal/recurso/-/detalle/250516000290/liceo-casino?langId=es_ES&tp=1001549&ctre=40000240,"Calle Manuel Quiroga, nº 21 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,,Pontevedra
LOLA,https://www.turismo.gal/recurso/-/detalle/v-po-008540/lola-?langId=es_ES&tp=1001549&ctre=40000240,"Calle José Casal, nº 1 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LOLA & LIA,https://www.turismo.gal/recurso/-/detalle/280383374/lola-lia?langId=es_ES&tp=24&ctre=142,"Plaza Curros Enríquez, nº 1 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 659 115 542,lolayliaviriato@gmail.com,Donde comer,,mailto:lolayliaviriato@gmail.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LOLITA,https://www.turismo.gal/recurso/-/detalle/v-po-008892/lolita?langId=es_ES&tp=1001549&ctre=40000240,"Praza da Curtidoira, nº 2 36001 Pontevedra - Pontevedra",Café bar,,,PAJAROCAMPOSRAMON@GMAIL.COM,Donde comer,,mailto:PAJAROCAMPOSRAMON@GMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LON-FON,https://www.turismo.gal/recurso/-/detalle/1460/lon-fon?langId=es_ES&tp=24&ctre=142,"Blanco Porto, nº 4 36001 Pontevedra - Pontevedra",Restaurante,3º Categoría - 2 Tenedores,+34 986 846 412,,Donde comer,"42º 25' 45.9"" N - 8º 38' 21.3"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
LOS CASTELLANOS,https://www.turismo.gal/recurso/-/detalle/v-po-009119/los-castellanos?langId=es_ES&tp=1001549&ctre=40000240,"Calle OLIVA, nº 23 36202 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LOS MIRABELES,https://www.turismo.gal/recurso/-/detalle/c-po-000794/los-mirabeles?langId=es_ES&tp=1001550&ctre=40000242,"Calle Francisco Tomás y Valiente, nº 1 36004 Pontevedra - Pontevedra",Cafetería,,+34 986 842 403,LABORAL@ISDEGA.ES,Donde comer,"42º 25' 30.1"" N - 8º 38' 01.6"" W",mailto:LABORAL@ISDEGA.ES,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
LÚA CHEA,https://www.turismo.gal/recurso/-/detalle/15540/lua-chea?langId=es_ES&tp=24&ctre=142,"Calle San Sebatián, nº 23 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 666 705 642,oceano2006@hotmail.com,Donde comer,"42º 25' 57.2"" N - 8º 38' 38.2"" W",mailto:oceano2006@hotmail.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
MADINA,https://www.turismo.gal/recurso/-/detalle/v-po-003712/madina?langId=es_ES&tp=1001549&ctre=40000240,"Calle ALVARO CUNQUEIRO, nº 7 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MAHALO POKÉ,https://www.turismo.gal/recurso/-/detalle/230511000289/mahalo-poke?langId=es_ES&tp=24&ctre=142,"Calle José Malvar Figueroa, nº 1 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 646 896 433,alvaro16592@hotmail.com,Donde comer,,mailto:alvaro16592@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MAKY,https://www.turismo.gal/recurso/-/detalle/160713000063/maky?langId=es_ES&tp=1001549&ctre=40000240,"Calle HERREROS, nº 17 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MAMA DONER KEBAP,https://www.turismo.gal/recurso/-/detalle/c-po-000969/mama-doner-kebap?langId=es_ES&tp=1001550&ctre=40000242,"Calle Padre Luis, nº 9 36002 Pontevedra - Pontevedra",Cafetería,,+34 659 116 285,abulkazal66@gmail.com,Donde comer,"42º 25' 55.8"" N - 8º 38' 31.7"" W",mailto:abulkazal66@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MAMA SOFIA,https://www.turismo.gal/recurso/-/detalle/211129000265/mama-sofia?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Antoniño, nº 83 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MAMAJUANA FOOD & DRINK,https://www.turismo.gal/recurso/-/detalle/250408000340/mamajuana-food-drink?langId=es_ES&tp=1001549&ctre=40000240,"Calle Baron, nº 2 36001 Pontevedra - Pontevedra",Café bar,,+34 657 232 022,LUISALEXISPUNTACANA@GMAIL.COM,Donde comer,,mailto:LUISALEXISPUNTACANA@GMAIL.COM,,,,,,,,,,,,,,,,,,,,Pontevedra
MAR DE FORA,https://www.turismo.gal/recurso/-/detalle/190124000373/mar-de-fora?langId=es_ES&tp=1001549&ctre=40000240,"Calle Amargura, nº 1 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MARCO,https://www.turismo.gal/recurso/-/detalle/150622000128/marco?langId=es_ES&tp=1001549&ctre=40000240,"Calle Fernández Villaverde, nº 3 36002 Pontevedra - Pontevedra",Café bar,,,ISA@MARCOCAFE.ES,Donde comer,,mailto:ISA@MARCOCAFE.ES,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MAREANTES,https://www.turismo.gal/recurso/-/detalle/v-po-007481/mareantes?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Nicolas, nº 3 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MARÍA LUISA,https://www.turismo.gal/recurso/-/detalle/280382873/maria-luisa?langId=es_ES&tp=24&ctre=142,"AVDA. URUGUAY, 63, BAIXO 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
D. BRUNCH,https://www.turismo.gal/recurso/-/detalle/210312001472/d.-brunch?langId=es_ES&tp=1001549&ctre=40000240,"Calle San Pedro Alcántara, nº 3 36003 Pontevedra - Pontevedra",Café bar,,,JOSEMACUNAG@DRBRUNCH.ES,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MARIBEN,https://www.turismo.gal/recurso/-/detalle/v-po-005964/mariben?langId=es_ES&tp=1001549&ctre=40000240,"Calle Alvaro Cunqueiro, nº 6 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MARINA DOR TABERNA TÍPICA,https://www.turismo.gal/recurso/-/detalle/210312001485/marina-dor-taberna-tipica?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Santa María de Xeve, nº 46 36151 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MARPI,https://www.turismo.gal/recurso/-/detalle/c-po-001035/marpi?langId=es_ES&tp=1001550&ctre=40000242,"Calle Francisco Tomás y Valiente, nº 3 36004 Pontevedra - Pontevedra",Cafetería,,+34 689 489 702,carmen.casal.pardo@gmail.com,Donde comer,"42º 25' 29.2"" N - 8º 37' 57.3"" W",mailto:carmen.casal.pardo@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MC DONALDS,https://www.turismo.gal/recurso/-/detalle/280382915/mc-donalds?langId=es_ES&tp=24&ctre=142,AVDA. DE LUGO 79 36004 Pontevedra - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,+34 986 848 134,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
MERCADO DE ABASTOS,https://www.turismo.gal/recurso/-/detalle/v-po-006645/mercado-de-abastos?langId=es_ES&tp=1001549&ctre=40000240,"Sierra - (Mercado de Abastos , nº 5 - s/n de posto 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MERLUZATECA,https://www.turismo.gal/recurso/-/detalle/200110000090/merluzateca?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sierra (Mercado de Abastos), nº 5 - Posto 21-B 36003 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MERRY´S,https://www.turismo.gal/recurso/-/detalle/180216000157/merry-s?langId=es_ES&tp=1001549&ctre=40000240,"Calle Alhóndiga, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,MERRISPONTEVEDRA@GMAIL.COM,Donde comer,,mailto:MERRISPONTEVEDRA@GMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
"MESÓN, 6",https://www.turismo.gal/recurso/-/detalle/190613000237/meson-6?langId=es_ES&tp=1001549&ctre=40000240,"Lugar Mesón, nº 6 36690 Pontevedra - Pontevedra",Café bar,,,TOMAS.GP@HOTMAIL.COM,Donde comer,,mailto:TOMAS.GP@HOTMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MEU BAKERY AND COFFEE,https://www.turismo.gal/recurso/-/detalle/220203000072/meu-bakery-and-coffee?langId=es_ES&tp=1001549&ctre=40000240,"Calle ROUCO, nº 10 36004 Pontevedra - Pontevedra",Café bar,,,marcelinofilgueirasobral@gmail.com,Donde comer,,mailto:marcelinofilgueirasobral@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MEU E TEU,https://www.turismo.gal/recurso/-/detalle/v-po-007812/meu-e-teu?langId=es_ES&tp=1001549&ctre=40000240,"Plaza 8 De Marzo, nº 6 36003 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MICAZO RAMEN,https://www.turismo.gal/recurso/-/detalle/278516765/micazo-ramen?langId=es_ES&tp=24&ctre=142,"Calle Manuel Quiroga, nº 2 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,"42º 25' 54.7"" N - 8º 38' 43.0"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
MIÑA,https://www.turismo.gal/recurso/-/detalle/v-po-009092/mina?langId=es_ES&tp=1001549&ctre=40000240,"Plaza San José, nº 4 36001 Pontevedra - Pontevedra",Café bar,,,3nortespontevedra@gmail.com,Donde comer,,mailto:3nortespontevedra@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MINI,https://www.turismo.gal/recurso/-/detalle/v-po-006712/mini?langId=es_ES&tp=1001549&ctre=40000240,"Calle Condesa Pardo Bazán, nº 1 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MISTER KEBAB PONTEVEDRA,https://www.turismo.gal/recurso/-/detalle/v-po-007684/mister-kebab-pontevedra?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rafael Alonso, nº 4-6 36003 Pontevedra - Pontevedra",Café bar,,+34 698 122 985,saima.saimahaider86@gmail.com,Donde comer,,mailto:saima.saimahaider86@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MISTO CAFÉ BAR,https://www.turismo.gal/recurso/-/detalle/230403000038/misto-cafe-bar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Marquesa, nº 3 36002 Pontevedra - Pontevedra",Café bar,,,laura@mistocafebar.com,Donde comer,,mailto:laura@mistocafebar.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MIZI BAKERY,https://www.turismo.gal/recurso/-/detalle/v-po-009536/mizi-bakery?langId=es_ES&tp=1001549&ctre=40000240,"Calle Germán Adrio Sobrino , nº 2 36003 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MOI BO,https://www.turismo.gal/recurso/-/detalle/161007000006/moi-bo?langId=es_ES&tp=1001549&ctre=40000240,"Calle MICHELENA , nº 34 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MOLCAJETE,https://www.turismo.gal/recurso/-/detalle/v-po-008142/molcajete?langId=es_ES&tp=1001549&ctre=40000240,"Calle Laranxo (Juan Flórez 16), nº 21 36002 Pontevedra - Pontevedra",Café bar,,,GGUERRERO_04@HOTMAIL.COM,Donde comer,,mailto:GGUERRERO_04@HOTMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MOMA,https://www.turismo.gal/recurso/-/detalle/21536/moma?langId=es_ES&tp=24&ctre=142,"Calle Tetuán, nº 10 36002 Pontevedra - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 678 760 879,MIGUELMARHER14@GMAIL.COM,Donde comer,"42º 25' 57.6"" N - 8º 38' 46.8"" W",mailto:MIGUELMARHER14@GMAIL.COM,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,,Pontevedra
MOMU FACKER,https://www.turismo.gal/recurso/-/detalle/230929000447/momu-facker?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Santa María, nº 1 36002 Pontevedra - Pontevedra",Café bar,,+34 672 279 438,PADALDASANTINA@GMAIL.COM,Donde comer,,mailto:PADALDASANTINA@GMAIL.COM,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MULLIGANS,https://www.turismo.gal/recurso/-/detalle/v-po-006669/mulligans?langId=es_ES&tp=1001549&ctre=40000240,"Calle Paio Gómez De Soutomaior, nº 3 36005 Pontevedra - Pontevedra",Café bar,,,cerveceriamulligans@hotmail.com,Donde comer,,mailto:cerveceriamulligans@hotmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
MUNDIAL,https://www.turismo.gal/recurso/-/detalle/c-po-000753/mundial?langId=es_ES&tp=1001550&ctre=40000242,"Calle Doutor Loureiro Crespo, nº 13 36004 Pontevedra - Pontevedra",Cafetería,,+34 618 494 497,carmenargibayiglesias@gmail.com,Donde comer,"42º 25' 44.7"" N - 8º 38' 12.4"" W",mailto:carmenargibayiglesias@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
NA POLA,https://www.turismo.gal/recurso/-/detalle/191211000131/na-pola?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sierra (Mercado de Abastos) , nº 5 - Posto 18-20-22 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,,Pontevedra
