nombre,link,direccion,tipo,categoria,telefono,email,fuente,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,situacion_caminos_de_santiago,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información,distancia,soles_repsol,estrellas_michelin,situacion_visitas
MUÑIZ,https://www.turismo.gal/recurso/-/detalle/v-po-001779/muniz?langId=es_ES&tp=1001549&ctre=40000240,LG. MANTEIGADA REBORDANS 36713 Tui - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
"MURALLA, LA",https://www.turismo.gal/recurso/-/detalle/r-po-001402/muralla-la?langId=es_ES&tp=24&ctre=142,"R/ ANTONIO PALACIOS, 112 36400 O Porriño - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
MUS,https://www.turismo.gal/recurso/-/detalle/210301000014/mus?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Gregorio Espino, nº 12 36205 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
MUSEO BERMAÑA,https://www.turismo.gal/recurso/-/detalle/v-po-007142/museo-bermana?langId=es_ES&tp=1001549&ctre=40000240,"C/ PORTO DO RIO, 29 0 Caldas de Reis - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
MUSICO,https://www.turismo.gal/recurso/-/detalle/v-po-003948/musico?langId=es_ES&tp=1001549&ctre=40000240,"TRAVESIA DE VIGO, 164 0 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
MUXICAS,https://www.turismo.gal/recurso/-/detalle/v-po-001703/muxicas?langId=es_ES&tp=1001549&ctre=40000240,"RAMÓN CABANILLAS, nº 105 36950 Moaña - Pontevedra",Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
MUXICAS TABERNA,https://www.turismo.gal/recurso/-/detalle/210308000635/muxicas-taberna?langId=es_ES&tp=1001549&ctre=40000240,"Lugar Ceo Alen, nº 8 36458 Salvaterra de Miño - Pontevedra",Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
N-2,https://www.turismo.gal/recurso/-/detalle/c-po-000965/n-2?langId=es_ES&tp=1001550&ctre=40000242,"Calle Carlos Maside , nº 10 36640 Pontecesures - Pontevedra",Cafetería,,,,Donde comer,"42º 43' 10.3"" N - 8º 39' 11.9"" W",,,,,,Camino Portugués | Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
N-550,https://www.turismo.gal/recurso/-/detalle/v-po-008521/n-550?langId=es_ES&tp=1001549&ctre=40000240,LG AMEIROLONGO-SANGUIÑEDA 415 Mos - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NA LÚA,https://www.turismo.gal/recurso/-/detalle/v-po-007949/na-lua?langId=es_ES&tp=1001549&ctre=40000240,"ERNESTINA OTERO, 49 0 Redondela - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,
NA POLA,https://www.turismo.gal/recurso/-/detalle/191211000131/na-pola?langId=es_ES&tp=1001549&ctre=40000240,"Calle Sierra (Mercado de Abastos) , nº 5 - Posto 18-20-22 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NABEIRA,https://www.turismo.gal/recurso/-/detalle/200206000138/nabeira?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Montero Rios (Estación Marítima), nº s/n 36940 Cangas - Pontevedra",Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
NABEIRA,https://www.turismo.gal/recurso/-/detalle/200715000322/nabeira?langId=es_ES&tp=1001549&ctre=40000240,"Calle Montero Rios (Edif. Dotacional - Jardines de Elduayen), nº s/n 36201 Vigo - Pontevedra",Café bar,,,,Donde comer,"42º 14' 27.9"" N - 8º 43' 29.0"" W",,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NACAR PASTELERIA CAFÉ-BAR,https://www.turismo.gal/recurso/-/detalle/v-po-005472/nacar-pasteleria-cafe-bar?langId=es_ES&tp=1001549&ctre=40000240,R/CALVO SOTELO 17 MARIN 0 Marín - Pontevedra,Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
NACIÓN PIZZA Y PASTA,https://www.turismo.gal/recurso/-/detalle/280382806/nacion-pizza-y-pasta?langId=es_ES&tp=24&ctre=142,"Praza Fco. Fdez. del Riego, nº 8 36203 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 125 000,,Donde comer,"42º 13' 52.1"" N - 8º 43' 15.7"" W",,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAILEX,https://www.turismo.gal/recurso/-/detalle/210308000641/nailex?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Castelao (Centro Comercial Coia 4), nº 75 36209 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAKEZ COFFE,https://www.turismo.gal/recurso/-/detalle/170905000053/nakez-coffe?langId=es_ES&tp=1001549&ctre=40000240,"Paseo De Alfonso XII, nº 11 36202 Vigo - Pontevedra",Café bar,,,nakezcoffe@gmail.com,Donde comer,"42º 35' 07.5"" N - 8º 46' 21.2"" W",mailto:nakezcoffe@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAMARE,https://www.turismo.gal/recurso/-/detalle/v-po-005162/namare?langId=es_ES&tp=1001549&ctre=40000240,"Travesía A Baldosa, nº 3 36600 Vilagarcía de Arousa - Pontevedra",Café bar,,,NAMOREBEACHCLUB@GMAIL.COM,Donde comer,,mailto:NAMOREBEACHCLUB@GMAIL.COM,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
ÑAN BURGUER,https://www.turismo.gal/recurso/-/detalle/v-po-004180/nan-burguer?langId=es_ES&tp=1001549&ctre=40000240,"Calle Marques de Riestra, nº 36 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NANDO,https://www.turismo.gal/recurso/-/detalle/11929/nando?langId=es_ES&tp=24&ctre=142,"Avda. Vigo, nº 152 36320 Redondela - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 450 036,,Donde comer,"42º 16' 12.5"" N - 8º 40' 11.6"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,
NANDY'S,https://www.turismo.gal/recurso/-/detalle/v-po-008233/nandy-s?langId=es_ES&tp=1001549&ctre=40000240,"PARQUE PÚBLICO DO ESPIÑEIRO, S/N - PORTONOVO 36970 Sanxenxo - Pontevedra",Café bar,,,,Donde comer,"42º 23' 48.8"" N - 8º 49' 33.3"" W",,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NANELOS,https://www.turismo.gal/recurso/-/detalle/210311001392/nanelos?langId=es_ES&tp=1001549&ctre=40000240,"Praza Jose Mogimes, nº 5 36340 Nigrán - Pontevedra",Café bar,,+34 696 244 955,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAO,https://www.turismo.gal/recurso/-/detalle/v-po-002026/nao?langId=es_ES&tp=1001549&ctre=40000240,R/CALVO SOTELO 22 MARIN 0 Marín - Pontevedra,Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
NAO´S,https://www.turismo.gal/recurso/-/detalle/v-po-003568/nao-s?langId=es_ES&tp=1001549&ctre=40000240,"Calle VIA NORTE, nº 36 36204 Vigo - Pontevedra",Café bar,,,afespi.rosa@mundo-r.com,Donde comer,,mailto:afespi.rosa@mundo-r.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NARCISO,https://www.turismo.gal/recurso/-/detalle/v-po-000187/narciso?langId=es_ES&tp=1001549&ctre=40000240,"RUA JOSE SALGADO, 11 CALDAS DE REIS 36650 Caldas de Reis - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NASA,https://www.turismo.gal/recurso/-/detalle/210802000017/nasa?langId=es_ES&tp=1001549&ctre=40000240,"Calle Galera, nº 6 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NASYRA,https://www.turismo.gal/recurso/-/detalle/v-po-006840/nasyra?langId=es_ES&tp=1001549&ctre=40000240,"Calle Chan da Ponte, nº 4 36430 Arbo - Pontevedra",Café bar,,+34 633 227 202,recepcion.represas@siscom.es,Donde comer,,mailto:recepcion.represas@siscom.es,,,,,,,,,,,,,,,,,,,
NATA,https://www.turismo.gal/recurso/-/detalle/v-po-005176/nata?langId=es_ES&tp=1001549&ctre=40000240,"RUA DE CASTELAO, 21 36600 Vilagarcía de Arousa - Pontevedra",Café bar,,,,Donde comer,,,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NATAS DOURO,https://www.turismo.gal/recurso/-/detalle/200729000730/natas-douro?langId=es_ES&tp=1001549&ctre=40000240,"Calle Peregrina, nº 24 36001 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NATAS DOURO,https://www.turismo.gal/recurso/-/detalle/210916000224/natas-douro?langId=es_ES&tp=1001549&ctre=40000240,"Plaza Praza Estación - C.C. VIALIA Vigo Local 26, nº 1 36201 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NATIONAL,https://www.turismo.gal/recurso/-/detalle/v-po-003213/national?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Montero Rios, nº 22 36940 Cangas - Pontevedra",Café bar,,,NATIONALCANGAS@GMAIL.COM,Donde comer,,mailto:NATIONALCANGAS@GMAIL.COM,,,,,,,,,,,,,,,,,,,
NATURA BAKERY,https://www.turismo.gal/recurso/-/detalle/v-po-008809/natura-bakery?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Avenida de Galicia, nº 134 36216 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NATURALPIZZA,https://www.turismo.gal/recurso/-/detalle/210506000166/naturalpizza?langId=es_ES&tp=1001549&ctre=40000240,"Avenida Balaidos, nº 26 Porta 11 36210 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NÁUTICO,https://www.turismo.gal/recurso/-/detalle/160826000086/nautico?langId=es_ES&tp=1001549&ctre=40000240,"Playa A Barrosa, nº s/n 36988 O Grove - Pontevedra",Café bar,,+34 986 738 220,miguelcierva@hotmail.com,Donde comer,"42º 27' 11.2"" N - 8º 55' 29.9"" W",mailto:miguelcierva@hotmail.com,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NAUTICO,https://www.turismo.gal/recurso/-/detalle/265198966/nautico?langId=es_ES&tp=24&ctre=142,"Avenida Uruguay, nº s/n 36002 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,"42º 14' 10.9"" N - 8º 43' 06.6"" W",,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,
NAUTILUS,https://www.turismo.gal/recurso/-/detalle/210302000025/nautilus?langId=es_ES&tp=1001549&ctre=40000240,"Calle Camilo José Cela, nº 6 36600 Vilagarcía de Arousa - Pontevedra",Café bar,,,,Donde comer,,,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NAUTILUS,https://www.turismo.gal/recurso/-/detalle/280133790/nautilus?langId=es_ES&tp=24&ctre=142,"Praza da Constitución, nº 5 36800 Redondela - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 408 159,rtenautilus@mundo-r.com,Donde comer,"42º 17' 02.4"" N - 8º 36' 28.9"" W",mailto:rtenautilus@mundo-r.com,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,
NAUTILUS,https://www.turismo.gal/recurso/-/detalle/v-po-008133/nautilus?langId=es_ES&tp=1001549&ctre=40000240,"Calle Velázquez Moreno, nº 37 36202 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAVAL DO ESPIÑO,https://www.turismo.gal/recurso/-/detalle/269406020/naval-do-espino?langId=es_ES&tp=24&ctre=142,Lalín - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,+34 986 787 064,,Donde comer,"42º 40' 12.0"" N - 8º 08' 17.9"" W",,,,,,Camino de Invierno | Vía de la Plata,,,,,,,,,,,,,,
"NAVEGACION, LA",https://www.turismo.gal/recurso/-/detalle/v-po-001355/navegacion-la?langId=es_ES&tp=1001549&ctre=40000240,"Calle TRAVESIA DE LA IGLESIA,Nº 6 BAIXO , nº 6 36680 A Estrada - Pontevedra",Café bar,,,,Donde comer,,,,,,,Vía de la Plata,,,,,,,,,,,,,,
NAVIA VELLO,https://www.turismo.gal/recurso/-/detalle/210321001849/navia-vello?langId=es_ES&tp=1001549&ctre=40000240,"Calle Bravo, nº 6 36212 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAVIA VELLO,https://www.turismo.gal/recurso/-/detalle/v-po-009601/navia-vello?langId=es_ES&tp=1001549&ctre=40000240,"SAN PAIO DE NAVIA, 132 212 Vigo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAVIO,https://www.turismo.gal/recurso/-/detalle/12887/navio?langId=es_ES&tp=24&ctre=142,"Puerto Rico, nº 27 36204 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 886 139 552,,Donde comer,"42º 13' 43.3"" N - 8º 43' 00.4"" W",,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NAVIS A LANZADA,https://www.turismo.gal/recurso/-/detalle/210627000647/navis-a-lanzada?langId=es_ES&tp=1001549&ctre=40000240,"Carretera Da Lanzada, nº 116 36969 Sanxenxo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NEBRASCA,https://www.turismo.gal/recurso/-/detalle/v-po-005048/nebrasca?langId=es_ES&tp=1001549&ctre=40000240,"Calle Loureiro Crespo, nº 53 36002 Pontevedra - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NÉBULA,https://www.turismo.gal/recurso/-/detalle/v-po-006568/nebula?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rosalía de Castro, nº 1 36640 Pontecesures - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués | Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NELROSS CAFE LOUNGE,https://www.turismo.gal/recurso/-/detalle/r-po-003589/nelross-cafe-lounge?langId=es_ES&tp=24&ctre=142,"RÚA OURENSE, 57 36130 Cerdedo-Cotobade - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
NELSO,https://www.turismo.gal/recurso/-/detalle/210311001376/nelso?langId=es_ES&tp=1001549&ctre=40000240,"Lg. Gargamala-Barro, nº 8 36878 Mondariz - Pontevedra",Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
NENZA XIDA,https://www.turismo.gal/recurso/-/detalle/v-po-009310/nenza-xida?langId=es_ES&tp=1001549&ctre=40000240,"Calle Calvario, nº 8 36770 O Rosal - Pontevedra",Café bar,,,rebeca684383992@gmail.com,Donde comer,,mailto:rebeca684383992@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NEPTUNO,https://www.turismo.gal/recurso/-/detalle/v-po-006864/neptuno?langId=es_ES&tp=1001549&ctre=40000240,"Calle Alexandre Boveda, nº 24 36600 Vilagarcía de Arousa - Pontevedra",Café bar,,,pabloql80@gmail.com,Donde comer,,mailto:pabloql80@gmail.com,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NEPTUNO,https://www.turismo.gal/recurso/-/detalle/v-po-006994/neptuno?langId=es_ES&tp=1001549&ctre=40000240,"R/ JOSÉ FRANCISCO GONZÁLEZ, 3 SAN ISIDRO 36620 Vilanova de Arousa - Pontevedra",Café bar,,,,Donde comer,,,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NEPTUNO,https://www.turismo.gal/recurso/-/detalle/v-po-009112/neptuno?langId=es_ES&tp=1001549&ctre=40000240,"RÚA ROSALÍA DE CASTRO, 128 - BX. 7 450 Salvaterra de Miño - Pontevedra",Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
NERESOF,https://www.turismo.gal/recurso/-/detalle/v-po-005028/neresof?langId=es_ES&tp=1001549&ctre=40000240,"Avenida DE MADRID, nº 14 36630 Cambados - Pontevedra",Café bar,,,,Donde comer,,,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NERO,https://www.turismo.gal/recurso/-/detalle/170105000035/nero?langId=es_ES&tp=24&ctre=142,"Plaza Compostela, nº 27 36201 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 616 668 388,info@nerovigo.com,Donde comer,,mailto:info@nerovigo.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NERO,https://www.turismo.gal/recurso/-/detalle/220727000813/nero?langId=es_ES&tp=24&ctre=142,"Calle Eduardo Cabello, nº 19 36208 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 238 604,omarfaresmontoya@yahoo.es,Donde comer,,mailto:omarfaresmontoya@yahoo.es,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NEVADA,https://www.turismo.gal/recurso/-/detalle/c-po-000210/nevada?langId=es_ES&tp=1001550&ctre=40000242,"Avenida Camelias , nº 60 36211 Vigo - Pontevedra",Cafetería,,,,Donde comer,"42º 13' 45.1"" N - 8º 43' 50.1"" W",,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NEVADA,https://www.turismo.gal/recurso/-/detalle/v-po-004078/nevada?langId=es_ES&tp=1001549&ctre=40000240,"Calle Rúa D, nº 16 36500 Lalín - Pontevedra",Café bar,,,fyflalin@fyfasociados.net,Donde comer,,mailto:fyflalin@fyfasociados.net,,,,,Camino de Invierno | Vía de la Plata,,,,,,,,,,,,,,
NEW POUSADA DO PINCHO,https://www.turismo.gal/recurso/-/detalle/c-po-001021/new-pousada-do-pincho?langId=es_ES&tp=1001550&ctre=40000242,"Calle Padre Luis Mª. Fernández, nº 8 36002 Pontevedra - Pontevedra",Cafetería,,+34 666 714 317,patricia.espino1703@gmail.com,Donde comer,,mailto:patricia.espino1703@gmail.com,,,,,Camino Portugués,,,,,,,,,,,,,,
NEW BOMBAY,https://www.turismo.gal/recurso/-/detalle/v-po-006935/new-bombay?langId=es_ES&tp=1001549&ctre=40000240,"Calle Charino, nº 2 36002 Pontevedra - Pontevedra",Café bar,,,mlc@quipusasesores.com,Donde comer,,mailto:mlc@quipusasesores.com,,,,,Camino Portugués,,,,,,,,,,,,,,
NEW CELTA POOL,https://www.turismo.gal/recurso/-/detalle/v-po-004580/new-celta-pool?langId=es_ES&tp=1001549&ctre=40000240,"Calle Pi y Margall, nº 104 36202 Vigo - Pontevedra",Café bar,,,richycl618@gmail.com,Donde comer,"42º 13' 43.5"" N - 8º 43' 55.5"" W",mailto:richycl618@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NEW JOY,https://www.turismo.gal/recurso/-/detalle/v-po-008952/new-joy?langId=es_ES&tp=1001549&ctre=40000240,"Calle Gran Vía, nº 112 36201 Vigo - Pontevedra",Café bar,,,celtiamin@gmail.com,Donde comer,,mailto:celtiamin@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NEW TEKES,https://www.turismo.gal/recurso/-/detalle/v-po-008235/new-tekes?langId=es_ES&tp=1001549&ctre=40000240,"Calle Diego Sarmiento Acuña, nº 12 36380 Gondomar - Pontevedra",Café bar,,,NEWTEKES2023@GMAIL.COM,Donde comer,,mailto:NEWTEKES2023@GMAIL.COM,,,,,,,,,,,,,,,,,,,
NEW YORK,https://www.turismo.gal/recurso/-/detalle/v-po-009365/new-york?langId=es_ES&tp=1001549&ctre=40000240,FONTE DO CURRO 692 Barro - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NICOLA,https://www.turismo.gal/recurso/-/detalle/14095/nicola?langId=es_ES&tp=24&ctre=142,"Pi y Margall, 137 36202 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 986 298 813,,Donde comer,"42º 13' 45.2"" N - 8º 43' 54.7"" W",,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NIKKO ESPACIO GASTRONOMICO,https://www.turismo.gal/recurso/-/detalle/13429/nikko-espacio-gastronomico?langId=es_ES&tp=24&ctre=142,"Calle México, nº 10 36204 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,+34 886 130 576,nikkoespaciogastronomico@gmail.com,Donde comer,"42º 14' 00.6"" N - 8º 42' 54.6"" W",mailto:nikkoespaciogastronomico@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NIKOS,https://www.turismo.gal/recurso/-/detalle/v-po-008191/nikos?langId=es_ES&tp=1001549&ctre=40000240,"Calle Travesía de Vigo, nº 163 36207 Vigo - Pontevedra",Café bar,,,florbalan51@gmail.com,Donde comer,,mailto:florbalan51@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NILDA ALVARIÑA,https://www.turismo.gal/recurso/-/detalle/181031000315/nilda-alvarina?langId=es_ES&tp=1001549&ctre=40000240,"San Adrián de Cobres, nº 75 36141 Vilaboa - Pontevedra",Café bar,,,,Donde comer,,,,,,,Camino Portugués,,,,,,,,,,,,,,
NINKASI,https://www.turismo.gal/recurso/-/detalle/150824000053/ninkasi?langId=es_ES&tp=1001549&ctre=40000240,"Avenida San Xoan, nº 30 36995 Poio - Pontevedra",Café bar,,,angelesalvarez84@hotmail.com,Donde comer,,mailto:angelesalvarez84@hotmail.com,,,,,,,,,,,,,,,,,,,
NIÑO,https://www.turismo.gal/recurso/-/detalle/v-po-004643/nino?langId=es_ES&tp=1001549&ctre=40000240,R/DARIO BUGALLAL 5 PONTEAREAS 0 Ponteareas - Pontevedra,Café bar,,,,Donde comer,,,,,,,,,,,,,,,,,,,,,
NIÑO CORVO,https://www.turismo.gal/recurso/-/detalle/v-po-008727/nino-corvo?langId=es_ES&tp=1001549&ctre=40000240,"Calle Real, nº 22 36202 Vigo - Pontevedra",Café bar,,+34 986 115 064,,Donde comer,,https://www.xn--niocorvo-e3a.com/,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NISIO,https://www.turismo.gal/recurso/-/detalle/210330002171/nisio?langId=es_ES&tp=24&ctre=142,"Calle Santa Tegra, nº 42 36207 Vigo - Pontevedra",Restaurante,4ª Categoría - 1 Tenedor,,inversionesleirado@gmail.com,Donde comer,"42º 15' 00.8"" N - 8º 42' 05.2"" W",mailto:inversionesleirado@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,Soletes,,
NITO,https://www.turismo.gal/recurso/-/detalle/12047/nito?langId=es_ES&tp=24&ctre=142,LG. SOUTELO 36470 Salceda de Caselas - Pontevedra,Restaurante,4ª Categoría - 1 Tenedor,+34 604 005 036,luisnito@live.com,Donde comer,"42º 06' 10.8"" N - 8º 33' 24.5"" W",mailto:luisnito@live.com,,,,,,,,,,,,,,,,,,,
NIZA,https://www.turismo.gal/recurso/-/detalle/c-po-000695/niza?langId=es_ES&tp=1001550&ctre=40000242,"Calle Castelao , nº 151 36980 O Grove - Pontevedra",Cafetería,,,,Donde comer,"42º 29' 28.0"" N - 8º 51' 32.2"" W",,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NIZA,https://www.turismo.gal/recurso/-/detalle/v-po-001886/niza?langId=es_ES&tp=1001549&ctre=40000240,R/PADRE CRESPO 55 REDONDELA 0 Redondela - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,
NIZA,https://www.turismo.gal/recurso/-/detalle/v-po-005078/niza?langId=es_ES&tp=1001549&ctre=40000240,R/E 6 LALIN 0 Lalín - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino de Invierno | Vía de la Plata,,,,,,,,,,,,,,
MAJESTIC BAR,https://www.turismo.gal/recurso/-/detalle/v-po-009023/majestic-bar?langId=es_ES&tp=1001549&ctre=40000240,"Calle Montero Rios, nº 14 36201 Vigo - Pontevedra",Café bar,,,,Donde comer,,mailto:j.r.lago@hotmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
"NOCHE, LA",https://www.turismo.gal/recurso/-/detalle/v-po-005496/noche-la?langId=es_ES&tp=1001549&ctre=40000240,"Calle Méndez Núñez, nº 2 36970 Sanxenxo - Pontevedra",Café bar,,,,Donde comer,,,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NOGAL,https://www.turismo.gal/recurso/-/detalle/c-po-000406/nogal?langId=es_ES&tp=1001550&ctre=40000242,"Calle Alcalde Rey Daviña , nº 20 36600 Vilagarcía de Arousa - Pontevedra",Cafetería,,,,Donde comer,"42º 35' 50.1"" N - 8º 45' 54.5"" W",,,,,,Ruta del Mar de Arousa y Ulla,,,,,,,,,,,,,,
NOKIA,https://www.turismo.gal/recurso/-/detalle/c-po-000564/nokia?langId=es_ES&tp=1001550&ctre=40000242,"Travesía Vigo, de , nº 137 0 Vigo - Pontevedra",Cafetería,,,,Donde comer,"42º 14' 25.4"" N - 8º 42' 10.1"" W",,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NOKIA 2,https://www.turismo.gal/recurso/-/detalle/v-po-008070/nokia-2?langId=es_ES&tp=1001549&ctre=40000240,"Carretera Estrada Vella de Madrid, nº 42 36204 Vigo - Pontevedra",Café bar,,,fernandezxoel5@gmail.com,Donde comer,,mailto:fernandezxoel5@gmail.com,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NOLETE,https://www.turismo.gal/recurso/-/detalle/v-po-000471/nolete?langId=es_ES&tp=1001549&ctre=40000240,CTRA GENERAL - REDONDELA CESANTES 26 0 Redondela - Pontevedra,Café bar,,,,Donde comer,,,,,,,Camino Portugués | Camino Portugués de la costa,,,,,,,,,,,,,,
NOLITA,https://www.turismo.gal/recurso/-/detalle/v-po-004549/nolita?langId=es_ES&tp=1001549&ctre=40000240,"Calle Urzaiz , nº 95 36204 Vigo - Pontevedra",Café bar,,,oscar@taxgalia.es,Donde comer,,mailto:oscar@taxgalia.es,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
NÓMADA'S BURGER BAR,https://www.turismo.gal/recurso/-/detalle/230321000418/nomada-s-burger-bar?langId=es_ES&tp=1001549&ctre=40000240,"Avenida García Barbón, nº 116 36201 Vigo - Pontevedra",Café bar,,,YONELGUT15@HOTMAIL.COM,Donde comer,,mailto:YONELGUT15@HOTMAIL.COM,,,,,Camino Portugués de la costa,,,,,,,,,,,,,,
