nombre,link,direccion,tipo,categoria,telefono,email,coordenadas,web,tipos_de_servicios,regímenes,habitaciones,plazas_totales_calculadas,alquiler,accesibilidad,horario_de_admisión:,servicios_convenciones,número_de_baños_o_aseos,nº_total_de_plazas_del_establecimiento,salones,tarjetas,servicios_enoturismo,más_información
CML,https://www.turismo.gal/recurso/-/detalle/280382396/cml?langId=es_ES&tp=67&ctre=135,"Avenida La Pastora, nº 97 36630 Cambados - Pontevedra",Pensión,2 estrellas,+34 635 440 462,oficinatecnica@mundo-r.com,,,,,,,,,,,,,,,,
COBRES,https://www.turismo.gal/recurso/-/detalle/37865/cobres?langId=es_ES&tp=68&ctre=130,nº 71 36141 Vilaboa - Pontevedra,Apartamento,Apartamentos 1 Llave,,info@cobresrural.com,,,,,,,,,,,,,,,,
COIA,https://www.turismo.gal/recurso/-/detalle/96/coia?langId=es_ES&tp=22&ctre=129,"Calle Sanxenxo , nº 1 36209 Vigo - Pontevedra",Hotel,4 Estrellas,+34 986 201 820,info@hotelcoia.com,,,,,,,,,,,,,,,,
"COLINAS DE TEBRA, LAS",https://www.turismo.gal/recurso/-/detalle/32863/colinas-de-tebra-las?langId=es_ES&tp=67&ctre=135,"STA. MARÍA DE TEBRA, S/N 36740 Tomiño - Pontevedra",Pensión,2 estrellas,+34 986 624 345,,,,,,,,,,,,,,,,,
COLÓN TUI,https://www.turismo.gal/recurso/-/detalle/94/colon-tui?langId=es_ES&tp=22&ctre=129,"Calle Colón , nº 11 36700 Tui - Pontevedra",Hotel,3 Estrellas,+34 986 600 223,info@hotelcolontuy.com,,,,,,,,,,,,,,,,
COMBARRO,https://www.turismo.gal/recurso/-/detalle/2522/combarro?langId=es_ES&tp=22&ctre=129,"Avenida Pinela , nº 3 36993 Poio - Pontevedra",Hotel,1 Estrella,+34 986 772 131,hotelcombarro@hotelcombarro.es,,,,,,,,,,,,,,,,
COMPLEXO ARBOREDA,https://www.turismo.gal/recurso/-/detalle/37866/complexo-arboreda?langId=es_ES&tp=67&ctre=135,"Turbela, nº 1 36430 Arbo - Pontevedra",Pensión,1 estrella,+34 986 665 459,complexo_arboreda@hotmail.com,,,,,,,,,,,,,,,,
COMPLEXO TURÍSTICO CORMORÁN,https://www.turismo.gal/recurso/-/detalle/36134/complexo-turistico-cormoran?langId=es_ES&tp=68&ctre=130,"Praia A Lapa , nº 135 36960 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,,turisticoscormoran@gmail.com,,,,,,,,,,,,,,,,
COMPOSTELA,https://www.turismo.gal/recurso/-/detalle/2567/compostela?langId=es_ES&tp=22&ctre=129,"Calle García Olloqui , nº 5 36201 Vigo - Pontevedra",Hotel,2 Estrellas,986 228 227,reservas@hcompostela.com,,,,,,,,,,,,,,,,
"CONCHA, LA",https://www.turismo.gal/recurso/-/detalle/32813/concha-la?langId=es_ES&tp=67&ctre=135,"R/ TENENTE DOMÍNGUEZ, 35 36980 O Grove - Pontevedra",Pensión,1 estrella,+34 986 730 060,,,,,,,,,,,,,,,,,
CONDADO,https://www.turismo.gal/recurso/-/detalle/2317/condado?langId=es_ES&tp=22&ctre=129,"Calle Real , nº 62 36860 Ponteareas - Pontevedra",Hotel,3 Estrellas,+34 986 641 310 / +34 986 661 666,recepcion@hotelcondado.es,,,,,,,,,,,,,,,,
CONDE,https://www.turismo.gal/recurso/-/detalle/272921979/conde?langId=es_ES&tp=67&ctre=135,"CIRCUNV. D. AURELIO, 44 36670 Cuntis - Pontevedra",Pensión,2 estrellas,,,,,,,,,,,,,,,,,,
CONDE NAVÍO,https://www.turismo.gal/recurso/-/detalle/33142/conde-navio?langId=es_ES&tp=22&ctre=129,36966 Sanxenxo - Pontevedra,Hotel,1 Estrella,+34 986 740 135,info@condenavio.com,,,,,,,,,,,,,,,,
CONDE REY,https://www.turismo.gal/recurso/-/detalle/261430559/conde-rey?langId=es_ES&tp=67&ctre=135,"RÚA XERAL, 27 36570 Silleda - Pontevedra",Pensión,3 estrellas,+34 986 585 861,hostalconderey@gmail.com,,,,,,,,,,,,,,,,
CONS DA GARDA,https://www.turismo.gal/recurso/-/detalle/27228/cons-da-garda?langId=es_ES&tp=68&ctre=130,nº 33 36989 O Grove - Pontevedra,Apartamento,Apartamentos 2 Llaves,+34 986 738 493,info@hotelconsdagarda.com,,,,,,,,,,,,,,,,
CONS DA GARDA NATURE,https://www.turismo.gal/recurso/-/detalle/210908000142/cons-da-garda-nature?langId=es_ES&tp=68&ctre=130,nº 33 36988 O Grove - Pontevedra,Apartamento,Apartamentos 3 Llaves,986 738 493,info@hotelconsdagarda.com,,,,,,,,,,,,,,,,
CONSUELO,https://www.turismo.gal/recurso/-/detalle/32505/consuelo?langId=es_ES&tp=67&ctre=135,"ESTRADA PROVINCIAL, 26-2,º 36204 Vigo - Pontevedra",Pensión,1 estrella,,,,,,,,,,,,,,,,,,
CONTINENTAL,https://www.turismo.gal/recurso/-/detalle/258780052/continental?langId=es_ES&tp=67&ctre=135,"Bajada á Fonte, nº 3 36202 Vigo - Pontevedra",Pensión,3 estrellas,+34 986 220 764,,,,,,,,,,,,,,,,,
CONVENTO DE SAN BENITO,https://www.turismo.gal/recurso/-/detalle/76/convento-de-san-benito?langId=es_ES&tp=22&ctre=129,"Plaza de San Bieito , nº s/n 36780 A Guarda - Pontevedra",Hotel,2 Estrellas,+34 986 611 166,correo@hotelsanbenito.es,,,,,,,,,,,,,,,,
CONVENTO DEL CAMINO,https://www.turismo.gal/recurso/-/detalle/190305000027/convento-del-camino?langId=es_ES&tp=1000100&ctre=1000120,"Rúa Antero Rubìn, nº 1 36700 Tui - Pontevedra",Albergue Turístico,,,conventodelcamino@gmail.com,,,,,,,,,,,,,,,,
CORINTO,https://www.turismo.gal/recurso/-/detalle/32012/corinto?langId=es_ES&tp=22&ctre=129,nº 27 36157 Pontevedra - Pontevedra,Hotel,1 Estrella,+34 986 870 345,restaurantecorinto@hotmail.com,,,,,,,,,,,,,,,,
CORONA DE GALICIA,https://www.turismo.gal/recurso/-/detalle/15712/corona-de-galicia?langId=es_ES&tp=22&ctre=129,"Lugar A Devesa, nº 28 36647 Valga - Pontevedra",Hotel,2 Estrellas,,info@coronasgalicia.com,,,,,,,,,,,,,,,,
COSTA,https://www.turismo.gal/recurso/-/detalle/30821/costa?langId=es_ES&tp=67&ctre=135,"Carretera da Lamosa, nº 1 36872 Covelo - Pontevedra",Pensión,2 estrellas,+34 986 650 032,pensionresidenciacosta@hotmail.com,,,,,,,,,,,,,,,,
COSTA CELEIRO,https://www.turismo.gal/recurso/-/detalle/220707000203/costa-celeiro?langId=es_ES&tp=68&ctre=130,"Lg. Castrelo, nº 18 36938 Bueu - Pontevedra",Apartamento,Apartamentos 1 Llave,4,,,,,,,,,,,,,,,,,
COSTA MAR,https://www.turismo.gal/recurso/-/detalle/32015/costa-mar?langId=es_ES&tp=22&ctre=129,nº 31 36960 Sanxenxo - Pontevedra,Hotel,1 Estrella,+34 986 745 103,,,,,,,,,,,,,,,,,
COSTAS DE BUEU,https://www.turismo.gal/recurso/-/detalle/220729000863/costas-de-bueu?langId=es_ES&tp=68&ctre=130,"Lugar Outeiro, nº 7 36939 Bueu - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 667 349 091,info@costasdebueu.com,,,,,,,,,,,,,,,,
COSTEIRA APARTAMENTOS,https://www.turismo.gal/recurso/-/detalle/200522000136/costeira-apartamentos?langId=es_ES&tp=68&ctre=130,nº 14 36388 Gondomar - Pontevedra,Apartamento,Apartamentos 1 Llave,+34 607 470 466,costeiradonas@gmail.com,,,,,,,,,,,,,,,,
"COSTERA, LA",https://www.turismo.gal/recurso/-/detalle/2333/costera-la?langId=es_ES&tp=22&ctre=129,"Estrada Noalla-A Lanzada , nº 126 36990 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 986 745858,informacion@hotellacostera.com,,,,,,,,,,,,,,,,
COVA DA BALEA,https://www.turismo.gal/recurso/-/detalle/6679/cova-da-balea?langId=es_ES&tp=71&ctre=134,"Calle José Graña, nº 46 36945 Cangas - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 329 276,mariagandonherbello@gmail.com,,,,,,,,,,,,,,,,
CRISTALEIRO,https://www.turismo.gal/recurso/-/detalle/137/cristaleiro?langId=es_ES&tp=22&ctre=129,"PRAZA MANUEL ALONSO, 6 0 Gondomar - Pontevedra",Hotel,2 Estrellas,+34 986 369 017,cristaleiro@yahoo.es,,,,,,,,,,,,,,,,
CRUCEIRO DO MONTE,https://www.turismo.gal/recurso/-/detalle/272108562/cruceiro-do-monte?langId=es_ES&tp=22&ctre=129,"Cruceiro , nº 23 36713 Tui - Pontevedra",Hotel,1 Estrella,+34 986 607 575,info@cruceirodomonte.com,,,,,,,,,,,,,,,,
"CRUCEIRO, O",https://www.turismo.gal/recurso/-/detalle/2280/cruceiro-o?langId=es_ES&tp=22&ctre=129,nº 75 36639 Cambados - Pontevedra,Hotel,2 Estrellas,+34 986 524 900 / +34 986 543 947,cruceirohotel@yahoo.es,,,,,,,,,,,,,,,,
"CRUCEIRO, O",https://www.turismo.gal/recurso/-/detalle/7842/cruceiro-o?langId=es_ES&tp=22&ctre=129,"Calle Juan Fuentes , nº 44 36650 Caldas de Reis - Pontevedra",Hotel,1 Estrella,+34 986 540 165 / +34 986 540 165,hotelcruceiro@yahoo.es,,,,,,,,,,,,,,,,
CUCOS,https://www.turismo.gal/recurso/-/detalle/261021047/cucos?langId=es_ES&tp=22&ctre=129,"Calle Carlos Casas , nº 17 36960 Sanxenxo - Pontevedra",Hotel,1 Estrella,+34 986 720 164,,,,,,,,,,,,,,,,,
DA VIONTA,https://www.turismo.gal/recurso/-/detalle/140/da-vionta?langId=es_ES&tp=22&ctre=129,"Calle Fontenla , nº 17 36994 Poio - Pontevedra",Hotel,2 Estrellas,+34 986 771 214,,,,,,,,,,,,,,,,,
DABARCA,https://www.turismo.gal/recurso/-/detalle/36080/dabarca?langId=es_ES&tp=22&ctre=129,"Calle Palamios , nº 6 36001 Pontevedra - Pontevedra",Hotel,3 Estrellas,+34 986 869 723,info@hoteldabarca.com,,,,,,,,,,,,,,,,
DAMASDO 6,https://www.turismo.gal/recurso/-/detalle/250606000099/damasdo-6?langId=es_ES&tp=68,"Calle Alfolíes, nº 5 36208 Vigo - Pontevedra",Apartamentos,Apartamentos 1 Llave,,damasdovigo@gmail.com,,,,,,,,,,,,,,,,
DERBY,https://www.turismo.gal/recurso/-/detalle/258764743/derby?langId=es_ES&tp=67&ctre=135,"Calle Alcalde Rey Daviña , nº 31 36600 Vilagarcía de Arousa - Pontevedra",Pensión,1 estrella,+34 986 512 774,info@altefrankfurt.es,,,,,,,,,,,,,,,,
DEVESA'S,https://www.turismo.gal/recurso/-/detalle/36071/devesa-s?langId=es_ES&tp=67&ctre=135,"Calle Ardia, nº 25 36980 O Grove - Pontevedra",Pensión,2 estrellas,+34 986 731 458,chankeleta10@yahoo.es,,,,,,,,,,,,,,,,
DINAJAN,https://www.turismo.gal/recurso/-/detalle/2585/dinajan?langId=es_ES&tp=22&ctre=129,"Playa Lugar O Terrón, nº 39 36620 Vilanova de Arousa - Pontevedra",Hotel,2 Estrellas,+34 986 554 918,,,,,,,,,,,,,,,,,
DOADE,https://www.turismo.gal/recurso/-/detalle/36199/doade?langId=es_ES&tp=22&ctre=129,"Lg. Baixada Praia Arneles, nº 1 36948 Cangas - Pontevedra",Hotel,1 Estrella,+34 986 328 302,info@hoteldoade.com,,,,,,,,,,,,,,,,
DOMÍNGUEZ,https://www.turismo.gal/recurso/-/detalle/28959/dominguez?langId=es_ES&tp=22&ctre=129,"Calle Luis Casais, nº 6 36980 O Grove - Pontevedra",Hotel,2 Estrellas,+34 986 730 285,,,,,,,,,,,,,,,,,
DON BENITO,https://www.turismo.gal/recurso/-/detalle/260630571/don-benito?langId=es_ES&tp=71&ctre=134,nº 4 36599 Vila de Cruces - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 582 682 / +34 981 580 266,info@campingascancelas.com,,,,,,,,,,,,,,,,
DON DIN,https://www.turismo.gal/recurso/-/detalle/11511/don-din?langId=es_ES&tp=71&ctre=134,"Calle Manuel Iglesias, nº 19 36590 Vila de Cruces - Pontevedra",Turismo rural,Grupo-B (Casa de Aldea),+34 986 592 608,info@casadondin.com,,,,,,,,,,,,,,,,
DON MEXILÓN,https://www.turismo.gal/recurso/-/detalle/11222/don-mexilon?langId=es_ES&tp=22&ctre=129,"Lugar Reboredo, nº 71 36989 O Grove - Pontevedra",Hotel,3 Estrellas,,donmexilon@hotmail.com,,,,,,,,,,,,,,,,
DON PEPE,https://www.turismo.gal/recurso/-/detalle/2524/don-pepe?langId=es_ES&tp=22&ctre=129,"Avenida A Barca, nº 24 36005 Poio - Pontevedra",Hotel,2 Estrellas,+34 986 872 260,info@hotel-donpepe.com,,,,,,,,,,,,,,,,
DOÑA URRACA,https://www.turismo.gal/recurso/-/detalle/h-po-001927/dona-urraca?langId=es_ES&tp=1000100&ctre=1000120,"Campo da Torre, nº 1 36650 Caldas de Reis - Pontevedra",Albergue Turístico,,+34 669 822 529,caldasrestauracion@gmail.com,,,,,,,,,,,,,,,,
DORMIDEIRA,https://www.turismo.gal/recurso/-/detalle/250704000115/dormideira?langId=es_ES&tp=68,"Lugar Os Campos, nº s/n 36988 O Grove - Pontevedra",Apartamentos,Apartamentos 3 Llaves,,,,,,,,,,,,,,,,,,
DPASO URBAN GUEST,https://www.turismo.gal/recurso/-/detalle/240315000291/dpaso-urban-guest?langId=es_ES&tp=67&ctre=135,"Calle Gorgullón, nº 27 36003 Pontevedra - Pontevedra",Pensión,1 estrella,,reservas@dpasohostel.es,,,,,,,,,,,,,,,,
DPASO URBAN HOSTEL,https://www.turismo.gal/recurso/-/detalle/200512000034/dpaso-urban-hostel?langId=es_ES&tp=1000100&ctre=1000120,"Calle Gorgullón, nº 16 36003 Pontevedra - Pontevedra",Albergue Turístico,,+34 653 548 059,gestion@dpasohostel.es,,,,,,,,,,,,,,,,
DUARTE,https://www.turismo.gal/recurso/-/detalle/30324/duarte?langId=es_ES&tp=22&ctre=129,"Calle Lameiriñas , nº 8 36690 Soutomaior - Pontevedra",Hotel,2 Estrellas,+34 986 670 057,isaac_duarte@hotmail.com,,,,,,,,,,,,,,,,
DUERMING O CASAL DA MARTIÑA,https://www.turismo.gal/recurso/-/detalle/190722000355/duerming-o-casal-da-martina?langId=es_ES&tp=68&ctre=130,"Camiño Real Do Casal, nº 20 36994 Poio - Pontevedra",Apartamento,Apartamentos 2 Llaves,986866177 - 619288419,emiliano.ocasal@gmail.com,,,,,,,,,,,,,,,,
DUERMING VELERO,https://www.turismo.gal/recurso/-/detalle/33678/duerming-velero?langId=es_ES&tp=68&ctre=130,"Lugar Arra, nº 12B 36970 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 604 075 021,info@inmobiliariasalnes.com,,,,,,,,,,,,,,,,
DUKES HABITACIONES,https://www.turismo.gal/recurso/-/detalle/240813000225/dukes-habitaciones?langId=es_ES&tp=67&ctre=135,"Lugar Aios, nº 157 36990 Sanxenxo - Pontevedra",Pensión,2 estrellas,,,,,,,,,,,,,,,,,,
DUNA,https://www.turismo.gal/recurso/-/detalle/2328/duna?langId=es_ES&tp=22&ctre=129,Playa Canelas 36970 Sanxenxo - Pontevedra,Hotel,2 Estrellas,+34 986 691 411,info@hotelduna.com,,,,,,,,,,,,,,,,
DUNAS DE SAMIL,https://www.turismo.gal/recurso/-/detalle/200727000622/dunas-de-samil?langId=es_ES&tp=68&ctre=130,"Calle Dunas de Samil, nº 1 36212 Vigo - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 886 909 980,info@dunasdesamil.com,,,,,,,,,,,,,,,,
DUPLEX PLAYA DE RONS,https://www.turismo.gal/recurso/-/detalle/280378548/duplex-playa-de-rons?langId=es_ES&tp=68&ctre=130,"Barrio de Rons , nº 5 36980 O Grove - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 616 041 448,info@playaderons.com,,,,,,,,,,,,,,,,
DUPLEX PLAYA MAJOR,https://www.turismo.gal/recurso/-/detalle/220215000184/duplex-playa-major?langId=es_ES&tp=68&ctre=130,"Lugar Major, nº 101 36990 Sanxenxo - Pontevedra",Apartamento,Apartamentos 1 Llave,697 49 07 29,info@apartamentosplayamajor.com,,,,,,,,,,,,,,,,
ECO CÁMPING ONS,https://www.turismo.gal/recurso/-/detalle/160520000068/eco-camping-ons?langId=es_ES&tp=69&ctre=139,Chan da pólvora 36930 Bueu - Pontevedra,Camping,Camping de 2ª Categoria,+34 986 433 530,CAMPINGONS@VIOVIAJES.COM,,,,,,,,,,,,,,,,
ECO HOTEL NOS,https://www.turismo.gal/recurso/-/detalle/34721/eco-hotel-nos?langId=es_ES&tp=22&ctre=129,"Riocalvo, nº 2 36546 Silleda - Pontevedra",Hotel,1 Estrella,+34 986 581 595,info@noshotel.com,,,,,,,,,,,,,,,,
EDÉN,https://www.turismo.gal/recurso/-/detalle/32232/eden?langId=es_ES&tp=67&ctre=135,"Lugar Fonte de Ons, nº 8 36990 Sanxenxo - Pontevedra",Pensión,2 estrellas,+34 986 743 140,,,,,,,,,,,,,,,,,
EIDO DE ABAIXO,https://www.turismo.gal/recurso/-/detalle/16152/eido-de-abaixo?langId=es_ES&tp=71&ctre=134,nº 5 36866 Ponteareas - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),+34 986 641 652,eidodeabaixo@gmail.com,,,,,,,,,,,,,,,,
EIDOS DA LAXE,https://www.turismo.gal/recurso/-/detalle/181026000258/eidos-da-laxe?langId=es_ES&tp=68&ctre=130,"Aldea Eidos da Baixo, nº 44 36430 Arbo - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 661 841 646,ochideiro@hotmail.com,,,,,,,,,,,,,,,,
EIRA GRANDE,https://www.turismo.gal/recurso/-/detalle/180327000400/eira-grande?langId=es_ES&tp=71&ctre=134,nº 136 36139 Cerdedo-Cotobade - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,galiciavillas@gmail.com,,,,,,,,,,,,,,,,
EIRADOS,https://www.turismo.gal/recurso/-/detalle/280379765/eirados?langId=es_ES&tp=1000180&ctre=1000220,"Barrio As Casás, nº s/n 36829 Ponte Caldelas - Pontevedra",Vivienda Turística,,4,,,,,,,,,,,,,,,,,
EL ABUELO DE ARCOS,https://www.turismo.gal/recurso/-/detalle/200722000517/el-abuelo-de-arcos?langId=es_ES&tp=71&ctre=134,nº 28 36637 Meis - Pontevedra,Turismo rural,Grupo-B (Casa de Aldea),,hola@elabuelodearcos.com,,,,,,,,,,,,,,,,
EL ÁGUILA,https://www.turismo.gal/recurso/-/detalle/2571/el-aguila?langId=es_ES&tp=22&ctre=129,"Calle Victoria , nº 6 36201 Vigo - Pontevedra",Hotel,1 Estrella,+34 986 431 398,recepcion@hotelaguila.com,,,,,,,,,,,,,,,,
EL CAPITAN,https://www.turismo.gal/recurso/-/detalle/258758945/el-capitan?langId=es_ES&tp=67&ctre=135,"Bajada Praia de Menduíña , nº 77 36946 Cangas - Pontevedra",Pensión,1 estrella,+34 986 329 516,info@restaurantecapitan.es,,,,,,,,,,,,,,,,
EL EDÉN,https://www.turismo.gal/recurso/-/detalle/28542/el-eden?langId=es_ES&tp=69&ctre=139,"CON CERRADO, S/N 0 A Illa de Arousa - Pontevedra",Camping,Camping de 2ª Categoria,+34 986 551 520,,,,,,,,,,,,,,,,,
EL GRAN ALBERGUE SILLEDA,https://www.turismo.gal/recurso/-/detalle/280379912/el-gran-albergue-silleda?langId=es_ES&tp=1000100&ctre=1000120,"Calle Antón Alonso Ríos, nº 18 36540 Silleda - Pontevedra",Albergue Turístico,,+34 986 580 156,,,,,,,,,,,,,,,,,
EL MOSQUITO,https://www.turismo.gal/recurso/-/detalle/150818000042/el-mosquito?langId=es_ES&tp=67&ctre=135,"Calle Ventura Misa, nº 58 36300 Baiona - Pontevedra",Pensión,2 estrellas,+34 675 569 986,pensionelmosquito@gmail.com,,,,,,,,,,,,,,,,
EL PUENTE,https://www.turismo.gal/recurso/-/detalle/2546/el-puente?langId=es_ES&tp=22&ctre=129,"Avenida León , nº 10 36960 Sanxenxo - Pontevedra",Hotel,2 Estrellas,+34 986 720 373,info@hotelelpuente.es,,,,,,,,,,,,,,,,
EL RETIRO,https://www.turismo.gal/recurso/-/detalle/37740/el-retiro?langId=es_ES&tp=67&ctre=135,"Calle Telleiro, nº 10 36650 Nigrán - Pontevedra",Pensión,2 estrellas,,elretironigran@gmail.com,,,,,,,,,,,,,,,,
EL TERRÓN,https://www.turismo.gal/recurso/-/detalle/448/el-terron?langId=es_ES&tp=69&ctre=139,Praia do Terrón 36629 Vilanova de Arousa - Pontevedra,Camping,Camping de 2ª Categoria,+34 986 554 394,info@campingelterron.com,,,,,,,,,,,,,,,,
EL TRÉBOL,https://www.turismo.gal/recurso/-/detalle/32020/el-trebol?langId=es_ES&tp=22&ctre=129,36700 Tui - Pontevedra,Hotel,2 Estrellas,+34 986 607 087 / +34 986 607 087,,,,,,,,,,,,,,,,,
EL VIEJO GALEÓN,https://www.turismo.gal/recurso/-/detalle/29154/el-viejo-galeon?langId=es_ES&tp=67&ctre=135,As Areas 36393 Baiona - Pontevedra,Pensión,2 estrellas,+34 986 350 207,,,,,,,,,,,,,,,,,
ELIMAR,https://www.turismo.gal/recurso/-/detalle/2517/elimar?langId=es_ES&tp=22&ctre=129,"Calle Vicente Sobrino , nº 12 36780 A Guarda - Pontevedra",Hotel,2 Estrellas,+34 986 613 000,info@eli-marhotel.com,,,,,,,,,,,,,,,,
ENOTURISMO LAGAR DE COSTA,https://www.turismo.gal/recurso/-/detalle/280259863/enoturismo-lagar-de-costa?langId=es_ES&tp=71&ctre=134,"Lugar Sartaxes, nº 8 36639 Cambados - Pontevedra",Turismo rural,Grupo-C (Casa de Labranza),+34 669 086 569,,,,,,,,,,,,,,,,,
ENTREROBLES,https://www.turismo.gal/recurso/-/detalle/36860/entrerobles?langId=es_ES&tp=22&ctre=129,"Dtor. Benito Fariñas, nº 50 36393 Baiona - Pontevedra",Hotel,2 Estrellas,+34 986 386 984 / +34 986 386 984,,,,,,,,,,,,,,,,,
ENXEBRE,https://www.turismo.gal/recurso/-/detalle/h-po-001926/enxebre?langId=es_ES&tp=67&ctre=135,"A BARCA, 4 36639 Cambados - Pontevedra",Pensión,1 estrella,,,,,,,,,,,,,,,,,,
ESCRIBANA DE TORGO,https://www.turismo.gal/recurso/-/detalle/35897/escribana-de-torgo?langId=es_ES&tp=71&ctre=134,nº 3 36887 A Cañiza - Pontevedra,Turismo rural,Grupo-A (Casa Grande),,casarural@escribanadetorgo.com,,,,,,,,,,,,,,,,
ESPERANZA DEL MAR,https://www.turismo.gal/recurso/-/detalle/280379892/esperanza-del-mar?langId=es_ES&tp=67&ctre=135,"Lugar Río, nº 30 36970 Sanxenxo - Pontevedra",Pensión,1 estrella,+34 986 690 425,info@esperanzadelmar.com,,,,,,,,,,,,,,,,
ESPERANZA DEL MAR,https://www.turismo.gal/recurso/-/detalle/36130/esperanza-del-mar?langId=es_ES&tp=68&ctre=130,"ESTRADA ADINA, 32 - PORTONOVO 0 Sanxenxo - Pontevedra",Apartamento,Apartamentos 3 Llaves,+34 986 690 183 / +34 986 690 425,info@esperanzadelmar.com,,,,,,,,,,,,,,,,
ESTELA DO MAR,https://www.turismo.gal/recurso/-/detalle/180625000502/estela-do-mar?langId=es_ES&tp=1000100&ctre=1000120,"ESTELA DO MAR, nº 15 36300 Baiona - Pontevedra",Albergue Turístico,,+34 604 034 227,info@esteladomar.com,,,,,,,,,,,,,,,,
ESTELLA MARIS,https://www.turismo.gal/recurso/-/detalle/2526/estella-maris?langId=es_ES&tp=22&ctre=129,"Avenida Chancelas , nº 7 36993 Poio - Pontevedra",Hotel,1 Estrella,+34 986 770 366,info@hotel-stellamaris.com,,,,,,,,,,,,,,,,
ESTÉVEZ,https://www.turismo.gal/recurso/-/detalle/37742/estevez?langId=es_ES&tp=67&ctre=135,"LG. PUXEIROS-ESTDA. AEROPUERTO, S/N 36416 Mos - Pontevedra",Pensión,3 estrellas,+34 986 487 370,info@pensionestevezdolia.com,,,,,,,,,,,,,,,,
"ESTRADENSE, LA",https://www.turismo.gal/recurso/-/detalle/38026/estradense-la?langId=es_ES&tp=67&ctre=135,"Alfonso XIII, nº 46 36201 Vigo - Pontevedra",Pensión,2 estrellas,+34 986 431 512,,,,,,,,,,,,,,,,,
ESTRELLA DEL MAR,https://www.turismo.gal/recurso/-/detalle/32615/estrella-del-mar?langId=es_ES&tp=22&ctre=129,"Foxos , nº 6 36990 Sanxenxo - Pontevedra",Hotel,2 Estrellas,,info@hotelestrelladelmar.es,,,,,,,,,,,,,,,,
ESTRELLA DO CAMIÑO,https://www.turismo.gal/recurso/-/detalle/190404000052/estrella-do-camino?langId=es_ES&tp=67&ctre=135,"Avenida San Roque, nº 6 36650 Caldas de Reis - Pontevedra",Pensión,1 estrella,,,,,,,,,,,,,,,,,,
ESTUDIOS DELFIN,https://www.turismo.gal/recurso/-/detalle/180628000566/estudios-delfin?langId=es_ES&tp=68&ctre=130,"Calle Caixa de Aforros Municipal de Vigo, nº 2 36300 Baiona - Pontevedra",Apartamento,Apartamentos 1 Llave,+34 629 466 130,evanajera@yahoo.es,,,,,,,,,,,,,,,,
EUROPA,https://www.turismo.gal/recurso/-/detalle/2511/europa?langId=es_ES&tp=22&ctre=129,"Calle Ourense , nº 12 36630 Cambados - Pontevedra",Hotel,1 Estrella,,hotel.europa.cambados@hotmail.com,,,,,,,,,,,,,,,,
EUROSTARS GRAN HOTEL LA TOJA,https://www.turismo.gal/recurso/-/detalle/3074/eurostars-gran-hotel-la-toja?langId=es_ES&tp=22&ctre=129,"Calle Condesa, nº 2 36991 O Grove - Pontevedra",Hotel,5 Estrellas,+34 986 730 025,reservas@eurostarsgranhotellatoja.com,,,,,,,,,,,,,,,,
EUROSTARS LOUXO TALASO,https://www.turismo.gal/recurso/-/detalle/29424/eurostars-louxo-talaso-?langId=es_ES&tp=22&ctre=129,"Calle Cortegada, nº 4 36991 O Grove - Pontevedra",Hotel,4 Estrellas,+34 986 730 200,reservas@louxolatoja.com,,,,,,,,,,,,,,,,
EUROSTARS MAR DE VIGO,https://www.turismo.gal/recurso/-/detalle/277294957/eurostars-mar-de-vigo?langId=es_ES&tp=22&ctre=129,"Avenida Beiramar , nº 57-59 36202 Vigo - Pontevedra",Hotel,4 Estrellas,+34 986 213 003 / +34 986 213 003,info@eurostarsmardevigo.com,,,,,,,,,,,,,,,,
EXE VIGO,https://www.turismo.gal/recurso/-/detalle/211227000199/exe-vigo?langId=es_ES&tp=22&ctre=129,"Calle Urzáiz, nº 76 36204 Vigo - Pontevedra",Hotel,3 Estrellas,+34 886 113 262,,,,,,,,,,,,,,,,,
EXPO,https://www.turismo.gal/recurso/-/detalle/170913000280/expo?langId=es_ES&tp=67&ctre=135,"Igrexa, nº 50 36412 O Porriño - Pontevedra",Pensión,2 estrellas,,,,,,,,,,,,,,,,,,
FARO SALAZÓN,https://www.turismo.gal/recurso/-/detalle/126/faro-salazon?langId=es_ES&tp=22&ctre=129,"Calle Sol , nº 6 36960 Sanxenxo - Pontevedra",Hotel,3 Estrellas,+34 986 723 399,reservas@hotelfarosalazon.com,,,,,,,,,,,,,,,,
FARO SILLEIRO BOUTIQUE HOTEL,https://www.turismo.gal/recurso/-/detalle/250411000384/faro-silleiro-boutique-hotel?langId=es_ES&tp=22,Carretera Cabo Silleiro 36309 Baiona - Pontevedra,Hoteles,2 Estrellas,,info@farosilleirohotel.com,,,,,,,,,,,,,,,,
